style,artist,title,matched,video_id,youtube_url,video_title,source,score,searched_at
House,Praga Khan,Love Me Baby (London Style Biscuit),yes,ukexiCevxng,https://music.youtube.com/watch?v=ukexiCevxng,Love Me Baby,ytmusic,100.0,2026-09-04T01:10:37
House,Praga Khan,Love Me Baby (Midsummer's Gentle Scents),yes,ukexiCevxng,https://music.youtube.com/watch?v=ukexiCevxng,Love Me Baby,ytmusic,100.0,2026-09-04T01:10:35
House,Praga Khan,Love Me Baby (The Downtown Flava),yes,ukexiCevxng,https://music.youtube.com/watch?v=ukexiCevxng,Love Me Baby,ytmusic,100.0,2026-09-04T01:10:36
House,Praga Khan,Phantasia (Joey Beltram's A Slice Of Heaven Mix),yes,LwEll_vm0Xo,https://music.youtube.com/watch?v=LwEll_vm0Xo,Praga Khan – Phantasia (Joey Beltram's A Slice Of Heaven Mix),ytmusic,100.0,2026-09-04T01:10:39
House,Praga Khan,Phantasia (MNO Style),yes,_zl-VBX61cE,https://music.youtube.com/watch?v=_zl-VBX61cE,Praga Khan – Phantasia (MNO Style),ytmusic,100.0,2026-09-04T01:10:38
House,Praga Khan,Phantasia (Mental Radio Mix),yes,FZYRRlVz_CE,https://music.youtube.com/watch?v=FZYRRlVz_CE,Praga Khan – Phantasia (Mental Radio Mix),ytmusic,100.0,2026-09-04T01:10:37
House,"Public Request, WAS",C'mon,yes,9MApymDDgmg,https://music.youtube.com/watch?v=9MApymDDgmg,C'mon!,ytmusic,69.56521739130434,2026-09-04T01:13:02
House,"Public Request, WAS",Ego,no,,,,none,0.0,2026-09-04T01:59:25
House,"Public Request, WAS",Spoon My,yes,M7Ea6dy9P8o,https://music.youtube.com/watch?v=M7Ea6dy9P8o,Wild,ytmusic,66.66666666666666,2026-09-04T01:13:03
House,"Public Request, WAS",Tunnel,yes,5nMRKasQ27I,https://music.youtube.com/watch?v=5nMRKasQ27I,Tunnel du public,ytmusic,74.28571428571428,2026-09-04T01:13:05
House,Remote Control,Groove Me Baby (Dedicated To CY),yes,16RvKJyE_eY,https://music.youtube.com/watch?v=16RvKJyE_eY,Remote Control - Groove Me Baby (Dedicated To CY) [Kosmotune],ytmusic,100.0,2026-09-04T01:13:41
House,Remote Control,I Feel It,yes,BwxLj1c3W6o,https://music.youtube.com/watch?v=BwxLj1c3W6o,Remote Control – I Feel It,ytmusic,100.0,2026-09-04T01:13:40
House,Remote Control,Let It Go,yes,ES6jHpYRx-I,https://music.youtube.com/watch?v=ES6jHpYRx-I,Remote Control – Let It Go,ytmusic,100.0,2026-09-04T01:13:39
House,Rework,You're So Just Just (Cinthie Remix),yes,Qxcun2q_Eak,https://music.youtube.com/watch?v=Qxcun2q_Eak,You're So Just Just (CINTHIE Remix),ytmusic,100.0,2026-09-04T01:18:12
House,Rework,You're So Just Just (Rework Just Edit),yes,hAJZS85toTc,https://music.youtube.com/watch?v=hAJZS85toTc,You're So Just Just (Rework Just Edit),ytmusic,100.0,2026-09-04T01:18:10
House,Rework,You're So Just Just (Troxler x Crosson Remix),yes,L7NBif2fOUE,https://music.youtube.com/watch?v=L7NBif2fOUE,You're So Just Just,ytmusic,100.0,2026-09-04T01:18:11
House,"Ruben Lombroso, Nativo (6), Kamyar Keramati, Tibahuult",Delayscura,no,,,,none,0.0,2026-09-04T01:59:47
House,"Ruben Lombroso, Nativo (6), Kamyar Keramati, Tibahuult",Elements Of A Thread,no,,,,none,0.0,2026-09-04T01:59:48
House,"Ruben Lombroso, Nativo (6), Kamyar Keramati, Tibahuult",Feel Some Of My Jam,no,,,,none,0.0,2026-09-04T01:59:50
House,"Ruben Lombroso, Nativo (6), Kamyar Keramati, Tibahuult",The Last Midnight,no,,,,none,0.0,2026-09-04T01:59:45
House,"SINM, Look Perry",Got The Data,yes,C_cQw7LZrzk,https://music.youtube.com/watch?v=C_cQw7LZrzk,SINM - Got The Data [MAAI007],ytdlp,65.51724137931035,2026-09-04T01:18:29
House,"SINM, Look Perry",I Can't Love U,yes,SKp1HKM_4TY,https://music.youtube.com/watch?v=SKp1HKM_4TY,And I Love You So,ytmusic,74.57627118644068,2026-09-04T01:18:32
House,"SINM, Look Perry",Layerz,yes,b0lZ6uvghdc,https://music.youtube.com/watch?v=b0lZ6uvghdc,Perry,ytmusic,71.42857142857143,2026-09-04T01:18:28
House,"SINM, Look Perry",Stone Pilots,yes,mFgpWbI3Czo,https://music.youtube.com/watch?v=mFgpWbI3Czo,Sin,ytmusic,68.57142857142857,2026-09-04T01:18:32
House,"SINM, Look Perry",Wonky Aftermath,yes,QAMSJvUYQ1I,https://music.youtube.com/watch?v=QAMSJvUYQ1I,SINM - Wonky Aftermath (MAAI007),ytdlp,68.75,2026-09-04T01:18:31
House,Sans Sucre,Ampullae Of Lorenzini,yes,n7YF-ltX35U,https://music.youtube.com/watch?v=n7YF-ltX35U,Ampullae Of Lorenzini,ytmusic,100.0,2026-09-04T01:17:06
House,Sans Sucre,Aqualung,yes,1HCj2pDT1pc,https://music.youtube.com/watch?v=1HCj2pDT1pc,Aqualung,ytmusic,100.0,2026-09-04T01:17:04
House,Sans Sucre,Sequential Hermaphrodism,yes,JRmh9dfuOho,https://music.youtube.com/watch?v=JRmh9dfuOho,Sequential Hermaphrodism,ytmusic,100.0,2026-09-04T01:17:05
House,Sans Sucre,Tetrodoxin,yes,AYUmwzCXToM,https://music.youtube.com/watch?v=AYUmwzCXToM,Tetrodoxin,ytmusic,100.0,2026-09-04T01:17:03
House,Science Friction,Dirty Den,yes,crPehSjLqYw,https://music.youtube.com/watch?v=crPehSjLqYw,Science Friction,ytmusic,88.88888888888889,2026-09-04T01:16:15
House,Science Friction,Hooked,yes,87W0KM5QLKg,https://music.youtube.com/watch?v=87W0KM5QLKg,Science Friction - Hooked [SE12 019],ytmusic,100.0,2026-09-04T01:16:15
House,Slacker,Scared (Dylan Rhymes Remix),yes,buMbciHbdHs,https://music.youtube.com/watch?v=buMbciHbdHs,Slacker - Scared (Dylan Rhymes Remix),ytmusic,100.0,2026-09-04T01:14:14
House,Slacker,Scared (Edit),yes,waY-rplusJQ,https://music.youtube.com/watch?v=waY-rplusJQ,Slacker - Scared (AI upscale),ytmusic,80.0,2026-09-04T01:14:13
House,Slacker,Scared (Of Tomorrow Mix),yes,4YgUpXsOKyE,https://music.youtube.com/watch?v=4YgUpXsOKyE,Slacker - Scared (Scared Of Tomorrow Mix),ytmusic,93.33333333333333,2026-09-04T01:14:12
House,Slacker,Scared (P.O.B's Seismix),no,,,,none,0.0,2026-09-04T01:59:27
House,Slacker,Scared (The Lonely Traveller Mix),yes,jqlL952AOEg,https://music.youtube.com/watch?v=jqlL952AOEg,SLACKER   SCARED  LONELY TRAVELLER MIX    A  1997 MADE IN D,ytmusic,86.11111111111111,2026-09-04T01:14:11
House,Slamm,"Energize (12"" Master)",yes,BvRHfkcxvec,https://music.youtube.com/watch?v=BvRHfkcxvec,Energize,ytmusic,100.0,2026-09-04T01:13:22
House,Slamm,Energize (Captain's Log Mix),yes,BvRHfkcxvec,https://music.youtube.com/watch?v=BvRHfkcxvec,Energize,ytmusic,100.0,2026-09-04T01:13:25
House,Slamm,Energize (La Camorra Headless Mix),yes,BvRHfkcxvec,https://music.youtube.com/watch?v=BvRHfkcxvec,Energize,ytmusic,100.0,2026-09-04T01:13:22
